Boro,Station (alphabetical by borough),2012,Boro,Station (alphabetical by borough),2012,Check
,The Bronx,,,The Bronx,,
The Bronx,138 St-Grand Concourse 4 train icon 5 train icon,2648,The Bronx,138 St-Grand Concourse 4 train icon 5 train icon,3183,TRUE
The Bronx,149 St-Grand Concourse 2 train icon 4 train icon 5 train icon,13024,The Bronx,149 St-Grand Concourse 2 train icon 4 train icon 5 train icon,13599,TRUE
The Bronx,161 St-Yankee Stadium B train icon D train icon 4 train icon,35820,The Bronx,161 St-Yankee Stadium B train icon D train icon 4 train icon,27604,TRUE
The Bronx,167 St 4 train icon,11188,The Bronx,167 St 4 train icon,9699,TRUE
The Bronx,167 St B train icon D train icon,11924,The Bronx,167 St B train icon D train icon,9264,TRUE
The Bronx,170 St 4 train icon,10952,The Bronx,170 St 4 train icon,9518,TRUE
The Bronx,170 St B train icon D train icon,8324,The Bronx,170 St B train icon D train icon,6303,TRUE
The Bronx,174 St 2 train icon 5 train icon,7210,The Bronx,174 St 2 train icon 5 train icon,7018,TRUE
The Bronx,174-175 Sts B train icon D train icon,5833,The Bronx,174-175 Sts B train icon D train icon,4706,TRUE
The Bronx,176 St 4 train icon,6508,The Bronx,176 St 4 train icon,5623,TRUE
The Bronx,182-183 Sts B train icon D train icon,5807,The Bronx,182-183 Sts B train icon D train icon,4507,TRUE
The Bronx,183 St 4 train icon,7588,The Bronx,183 St 4 train icon,6319,TRUE
The Bronx,219 St 2 train icon 5 train icon,3827,The Bronx,219 St 2 train icon 5 train icon,3413,TRUE
The Bronx,225 St 2 train icon 5 train icon,4838,The Bronx,225 St 2 train icon 5 train icon,4469,TRUE
The Bronx,231 St 1 train icon,9704,The Bronx,231 St 1 train icon,9187,TRUE
The Bronx,233 St 2 train icon 5 train icon,5971,The Bronx,233 St 2 train icon 5 train icon,5388,TRUE
The Bronx,238 St 1 train icon,3716,The Bronx,238 St 1 train icon,3612,TRUE
The Bronx,3 Av-138 St 6 train icon,8670,The Bronx,3 Av-138 St 6 train icon,7326,TRUE
The Bronx,3 Av-149 St 2 train icon 5 train icon,25356,The Bronx,3 Av-149 St 2 train icon 5 train icon,24580,TRUE
The Bronx,Allerton Av 2 train icon 5 train icon,6242,The Bronx,Allerton Av 2 train icon 5 train icon,5389,TRUE
The Bronx,Baychester Av 5 train icon,3032,The Bronx,Baychester Av 5 train icon,3980,TRUE
The Bronx,Bedford Park Blvd B train icon D train icon,7039,The Bronx,Bedford Park Blvd B train icon D train icon,6183,TRUE
The Bronx,Bedford Park Blvd-Lehman College 4 train icon,5303,The Bronx,Bedford Park Blvd-Lehman College 4 train icon,6034,TRUE
The Bronx,Bronx Park East 2 train icon 5 train icon,2880,The Bronx,Bronx Park East 2 train icon 5 train icon,2811,TRUE
The Bronx,Brook Av 6 train icon,6742,The Bronx,Brook Av 6 train icon,6113,TRUE
The Bronx,Buhre Av 6 train icon,2837,The Bronx,Buhre Av 6 train icon,3418,TRUE
The Bronx,Burke Av 2 train icon 5 train icon,3900,The Bronx,Burke Av 2 train icon 5 train icon,3491,TRUE
The Bronx,Burnside Av 4 train icon,12070,The Bronx,Burnside Av 4 train icon,11387,TRUE
The Bronx,Castle Hill Av 6 train icon,7956,The Bronx,Castle Hill Av 6 train icon,7567,TRUE
The Bronx,Cypress Av 6 train icon,3445,The Bronx,Cypress Av 6 train icon,3636,TRUE
The Bronx,East 143 St-St Mary's St 6 train icon,771,The Bronx,East 143 St-St Mary's St 6 train icon,973,TRUE
The Bronx,East 149 St 6 train icon,5132,The Bronx,East 149 St 6 train icon,4486,TRUE
The Bronx,East 180 St 2 train icon 5 train icon,7154,The Bronx,East 180 St 2 train icon 5 train icon,6832,TRUE
The Bronx,Eastchester-Dyre Av 5 train icon,3212,The Bronx,Eastchester-Dyre Av 5 train icon,4765,TRUE
The Bronx,Elder Av 6 train icon,7207,The Bronx,Elder Av 6 train icon,6161,TRUE
The Bronx,Fordham Rd 4 train icon,14757,The Bronx,Fordham Rd 4 train icon,12560,TRUE
The Bronx,Fordham Rd B train icon D train icon,14157,The Bronx,Fordham Rd B train icon D train icon,11521,TRUE
The Bronx,Freeman St 2 train icon 5 train icon,4540,The Bronx,Freeman St 2 train icon 5 train icon,4569,TRUE
The Bronx,Gun Hill Rd 2 train icon 5 train icon,7899,The Bronx,Gun Hill Rd 2 train icon 5 train icon,7212,TRUE
The Bronx,Gun Hill Rd 5 train icon,4910,The Bronx,Gun Hill Rd 5 train icon,5953,TRUE
The Bronx,Hunts Point Av 6 train icon,11168,The Bronx,Hunts Point Av 6 train icon,10389,TRUE
The Bronx,Intervale Av 2 train icon 5 train icon,2853,The Bronx,Intervale Av 2 train icon 5 train icon,3121,TRUE
The Bronx,Jackson Av 2 train icon 5 train icon,4578,The Bronx,Jackson Av 2 train icon 5 train icon,5060,TRUE
The Bronx,Kingsbridge Rd 4 train icon,10587,The Bronx,Kingsbridge Rd 4 train icon,10377,TRUE
The Bronx,Kingsbridge Rd B train icon D train icon,8373,The Bronx,Kingsbridge Rd B train icon D train icon,7184,TRUE
The Bronx,Longwood Av 6 train icon,3589,The Bronx,Longwood Av 6 train icon,3476,TRUE
The Bronx,Middletown Rd 6 train icon,1372,The Bronx,Middletown Rd 6 train icon,1969,TRUE
