Boro,Station,2012 Weekend,2012 Weekday,Sum
The Bronx,East 143 St-St Mary's St,771,973,1744
The Bronx,Morris Park,1255,2083,3338
The Bronx,Middletown Rd,1372,1969,3341
The Bronx,Pelham Pkwy,1746,3314,5060
The Bronx,Whitlock Av,1857,1691,3548
The Bronx,Zerega Av,2523,2849,5372
The Bronx,138 St-Grand Concourse,2648,3183,5831
The Bronx,Buhre Av,2837,3418,6255
The Bronx,Intervale Av,2853,3121,5974
The Bronx,Bronx Park East,2880,2811,5691
The Bronx,Baychester Av,3032,3980,7012
The Bronx,Eastchester-Dyre Av,3212,4765,7977
The Bronx,Nereid Av,3396,3603,6999
The Bronx,Cypress Av,3445,3636,7081
The Bronx,Longwood Av,3589,3476,7065
The Bronx,238 St,3716,3612,7328
The Bronx,219 St,3827,3413,7240
The Bronx,Burke Av,3900,3491,7391
The Bronx,St Lawrence Av,4537,3852,8389
The Bronx,Freeman St,4540,4569,9109
The Bronx,Jackson Av,4578,5060,9638
The Bronx,225 St,4838,4469,9307
The Bronx,Gun Hill Rd,4910,5953,10863
The Bronx,East 149 St,5132,4486,9618
The Bronx,Bedford Park Blvd-Lehman College,5303,6034,11337
The Bronx,Westchester Sq-East Tremont Av,5512,6663,12175
The Bronx,182-183 Sts,5807,4507,10314
The Bronx,174-175 Sts,5833,4706,10539
The Bronx,233 St,5971,5388,11359
The Bronx,Wakefield-241 St,6195,5048,11243
The Bronx,Allerton Av,6242,5389,11631
The Bronx,Mt Eden Av,6444,5859,12303
The Bronx,176 St,6508,5623,12131
The Bronx,Pelham Bay Park,6516,6688,13204
The Bronx,Prospect Av,6521,7053,13574
The Bronx,Brook Av,6742,6113,12855
The Bronx,Van Cortlandt Park-242 St,6968,6641,13609
The Bronx,Bedford Park Blvd,7039,6183,13222
The Bronx,East 180 St,7154,6832,13986
The Bronx,Elder Av,7207,6161,13368
The Bronx,174 St,7210,7018,14228
The Bronx,Morrison Av-Soundview,7494,6582,14076
The Bronx,183 St,7588,6319,13907
The Bronx,Gun Hill Rd,7899,7212,15111
The Bronx,Castle Hill Av,7956,7567,15523
The Bronx,170 St,8324,6303,14627
The Bronx,Kingsbridge Rd,8373,7184,15557
The Bronx,West Farms Sq-East Tremont Av,8494,7842,16336
The Bronx,Woodlawn,8577,7797,16374
The Bronx,3 Av-138 St,8670,7326,15996
The Bronx,Norwood-205 St,9025,7872,16897
The Bronx,Simpson St,9045,9243,18288
The Bronx,Mosholu Pkwy,9261,9596,18857
The Bronx,231 St,9704,9187,18891
The Bronx,Pelham Pkwy,10246,9288,19534
The Bronx,Tremont Av,10412,8882,19294
The Bronx,Kingsbridge Rd,10587,10377,20964
The Bronx,170 St,10952,9518,20470
The Bronx,Hunts Point Av,11168,10389,21557
The Bronx,167 St,11188,9699,20887
The Bronx,167 St,11924,9264,21188
The Bronx,Burnside Av,12070,11387,23457
The Bronx,149 St-Grand Concourse,13024,13599,26623
The Bronx,Fordham Rd,14157,11521,25678
The Bronx,Fordham Rd,14757,12560,27317
The Bronx,Parkchester,16260,15190,31450
The Bronx,3 Av-149 St,25356,24580,49936
The Bronx,161 St-Yankee Stadium,35820,27604,63424
Queens,Aqueduct Racetrack,0,0,0
Queens,Broad Channel,171,267,438
Queens,Beach 105 St,325,253,578
Queens,Beach 44 St,496,538,1034
Queens,Beach 36 St,696,718,1414
Queens,Beach 98 St,874,572,1446
Queens,Rockaway Park-Beach 116 St,1143,741,1884
Queens,Beach 25 St,1163,1494,2657
Queens,104 St,1401,1725,3126
Queens,Hunters Point Av,1442,6521,7963
Queens,Beach 90 St,1563,877,2440
Queens,21 St,1841,1478,3319
Queens,Seneca Av,1851,2461,4312
Queens,Beach 67 St,1947,1859,3806
Queens,Beach 60 St,1954,1924,3878
Queens,121 St,1991,2218,4209
Queens,111 St,2021,2613,4634
Queens,111 St,2102,2728,4830
Queens,104 St,2108,2553,4661
Queens,88 St,2257,2677,4934
