Assembly District,Town,Neighborhood,"Total Occupied Housing Units, 2005-09","Owner Occupied, No vehicle, 2005-09","Renter Occupied, No vehicle, 2005-09",Occupied Housing Units w/No Vehicle 2005-09 as a % of Total,"Total Occupied Housing Units, 2000","Owner Occupied, No vehicle, 2000","Renter Occupied, No vehicle, 2000",Occupied Housing Units w/No Vehicle 2000 as a % of Total
1,"Southampton, East Hampton",,54044,1381,815,4.06%,48117,1650,1261,6.05%
2,New Suffolk,,51874,1328,973,4.44%,48006,1282,1206,5.18%
3,Medford,,46771,985,1623,5.58%,44011,1043,2097,7.13%
4,Setauket,,42227,838,729,3.71%,40949,805,760,3.82%
5,Holbrook,,44259,733,970,3.85%,43764,877,1111,4.54%
6,Central Islip,,35357,771,2066,8.02%,35374,984,2103,8.73%
7,Sayville,,43120,893,907,4.17%,43554,965,905,4.29%
8,Smithtown,,42359,890,907,4.24%,43849,1186,973,4.92%
9,Massapequa,,42819,796,486,2.99%,44405,955,706,3.74%
10,Huntington Station,,44072,1216,980,4.98%,44305,1163,1018,4.92%
11,Lindenhurst,,39730,1112,1597,6.82%,41113,1517,1596,7.57%
12,East Northport,,42027,1205,519,4.10%,43144,1366,593,4.54%
13,Glen Cove,,44249,878,1266,4.85%,43794,971,1339,5.27%
14,Merrick,,44033,1298,1748,6.92%,46763,1955,2287,9.07%
15,Glen Head,,42252,1355,1097,5.80%,43133,1632,1094,6.32%
16,Great Neck,,47630,1466,1585,6.41%,46962,1577,1562,6.68%
17,East Meadow,,42509,1316,799,4.98%,44488,1797,1148,6.62%
18,Hempstead,,36179,1110,5109,17.19%,36559,1361,4879,17.07%
19,Franklin Square,,42062,1485,859,5.57%,43440,1271,788,4.74%
20,Long Beach,,46318,1578,2225,8.21%,48159,1666,3060,9.81%
21,Lynbrook,,40731,1803,949,6.76%,42797,2085,1221,7.72%
22,Elmont,,41350,3080,16052,46.27%,42713,2802,15989,43.99%
23,Queens ,Far Rockaway,46258,3101,8832,25.80%,45539,3499,9476,28.49%
24,Queens ,Holliswood,48313,3026,3533,13.58%,47457,3129,3931,14.88%
25,Queens ,Hillcrest,40459,3033,7350,25.66%,40221,3057,8203,28.00%
26,Queens ,Bayside,50788,3627,2913,12.88%,50255,3865,3491,14.64%
27,Queens ,Electchester,47075,3328,11628,31.77%,46864,2813,12689,33.08%
28,Queens ,Forest Hills,56587,7185,14766,38.79%,56357,5799,16805,40.11%
29,Queens ,Jamaica,37072,2911,6860,26.36%,38940,3410,8081,29.51%
30,Queens ,Maspeth,48677,4449,16603,43.25%,48587,4190,18081,45.84%
31,Queens ,Far Rockaway,37648,2476,9972,33.06%,36811,2811,10123,35.14%
32,Queens ,Jamaica,38829,3425,10953,37.03%,38907,4021,12223,41.75%
33,Queens ,Queens Village,35733,3032,2646,15.89%,37003,3749,3969,20.86%
34,Queens ,East Elmhurst,39421,3987,14858,47.80%,40303,4202,15144,48.00%
35,Queens ,Corona,40053,4125,15136,48.09%,40788,3948,15975,48.85%
36,Queens ,Long Island City,50710,2907,23139,51.36%,50222,3504,22280,51.34%
37,Queens ,Ridgewood,45749,2344,24091,57.78%,45504,2449,24620,59.49%
38,Queens ,Glendale,40125,3400,9723,32.71%,41013,4300,10584,36.29%
39,Queens ,Corona,34929,2732,18352,60.36%,35180,2597,19240,62.07%
40,Queens ,Flushing,43576,2227,24016,60.22%,41492,2212,23179,61.19%
41,Brooklyn ,"Midwood, Sheepshead Bay",42499,4108,9614,32.29%,43310,4769,11664,37.94%
42,Brooklyn ,Midwood,40202,1845,22228,59.88%,40405,1784,23369,62.25%
43,Brooklyn ,"Crown Heights, Prospect Lefferts Gardens",42064,2985,22944,61.64%,42657,2909,24639,64.58%
44,Brooklyn ,Kensington,45011,4781,17958,50.52%,45036,3634,20450,53.48%
45,Brooklyn ,"Brighton Beach, Sheepshead Bay",45006,3274,17585,46.35%,47004,3492,19073,48.01%
46,Brooklyn ,"Coney Island, Fort Hamilton",48102,3246,23533,55.67%,49276,3355,24029,55.57%
47,Brooklyn ,Gravesend,44263,3439,18165,48.81%,45674,3555,17985,47.16%
48,Brooklyn ,Borough Park,35605,3007,13931,47.57%,37494,3581,15231,50.17%
49,Brooklyn ,Bensonhurst,41540,4007,15550,47.08%,43258,4070,15266,44.70%
50,Brooklyn ,"Greenpoint, Williamsburg",44018,3322,26019,66.66%,42280,2987,25186,66.63%
51,Brooklyn ,Sunset Park,39255,3516,22316,65.81%,37674,2900,21709,65.32%
52,Brooklyn ,"Brooklyn Heights, Park Slope",58115,9559,25818,60.87%,55854,7417,26951,61.53%
53,Brooklyn ,"East Williamsburg, Bushwick",43405,1729,30047,73.21%,38902,1327,27881,75.08%
54,Brooklyn,0,37519,2744,20974,63.22%,35290,3233,19483,64.37%
55,Brooklyn,0,41227,1910,26207,68.20%,40348,2381,26878,72.52%
56,Brooklyn ,Bedford-Stuyvesant,44119,3643,26306,67.88%,44234,3403,27994,70.98%
57,Brooklyn ,"Clinton Hill, Fort Greene, Prospect Heights",50210,4502,29235,67.19%,49386,3635,30501,69.12%
58,Brooklyn ,"Canarsie, East Flatbush",39600,3239,15069,46.23%,40719,3743,16965,50.86%
59,Brooklyn,0,41990,3440,6327,23.26%,42341,3962,6821,25.47%
60,Brooklyn,0,49542,3399,9902,26.85%,47745,3327,10519,29.00%
61,Staten Island ,West Brighton,44638,2318,10752,29.28%,42427,2223,10951,31.05%
62,Staten Island ,Annadale,45290,1464,1207,5.90%,42057,1527,2290,9.08%
63,Staten Island ,Silver Lake,45184,1769,3927,12.61%,42205,1744,4310,14.34%
64,Staten Island ,"Rosebank, BayRidge Brooklyn",57695,5698,39681,78.65%,51990,5040,37592,82.00%
