Members of the New York State Assembly,,,,,
District,Member,Party,First elected,,Residence
1,Fred Thiele,Ind,1995,,"Southampton, East Hampton"
2,Anthony Palumbo,Rep,2013,,New Suffolk
3,Edward Hennessey,Dem,2012,,Medford
4,Steven Englebright,Dem,1992,,Setauket
5,Al Graf,Rep,2010,,Holbrook
6,Philip Ramos,Dem,2002,,Central Islip
7,Andrew R. Garbarino,Rep,2012,,Sayville
8,Michael J. Fitzpatrick,Rep,2002,,Smithtown
9,Joseph Saladino,Rep,2004,,Massapequa
10,Chad A. Lupinacci,Rep,2012,,Huntington Station
11,Robert Sweeney,Dem,1988,,Lindenhurst
12,Andrew Raia,Rep,2002,,East Northport
13,Charles Lavine,Dem,2004,,Glen Cove
14,David McDonough,Rep,2002,,Merrick
15,Michael Montesano,Rep,2010,,Glen Head
16,Michelle Schimel,Dem,2007,,Great Neck
17,Thomas McKevitt,Rep,2006,,East Meadow
18,Earlene Hooper,Dem,1988,,Hempstead
19,Ed Ra,Rep,2010,,Franklin Square
20,Harvey Weisenberg,Dem,1989,,Long Beach
21,Brian F. Curran,Rep,2010,,Lynbrook
22,Michaelle C. Solages,Dem,2012,,Elmont
23,Phillip Goldfeder,Dem,2011,,Queens (Far Rockaway)
24,David Weprin,Dem,2010,,Queens (Holliswood)
25,Nily Rozic,Dem,2012,,Queens (Hillcrest)
26,Edward Braunstein,Dem,2010,,Queens (Bayside)
27,Michael Simanowitz,Dem,2011,,Queens (Electchester)
28,Andrew Hevesi,Dem,2005,,Queens (Forest Hills)
29,William Scarborough,Dem,1994,,Queens (Jamaica)
30,Margaret Markey,Dem,1998,,Queens (Maspeth)
31,Michele Titus,Dem,2002,,Queens (Far Rockaway)
32,Vivian Cook,Dem,1990,,Queens (Jamaica)
33,Barbara Clark,Dem,1986,,Queens (Queens Village)
34,Michael DenDekker,Dem,2008,,Queens (East Elmhurst)
35,Jeffrion Aubry,Dem,1992,,Queens (Corona)
36,Aravella Simotas,Dem,2010,,Queens (Long Island City)
37,Catherine Nolan,Dem,1984,,Queens (Ridgewood)
38,Michael G. Miller,Dem,2009,,Queens (Glendale)
39,Francisco Moya,Dem,2010,,Queens (Corona)
40,Ron Kim,Dem,2012,,Queens (Flushing)
41,Helene Weinstein,Dem,1980,,"Brooklyn (Midwood, Sheepshead Bay)"
42,Rhoda Jacobs,Dem,1978,,Brooklyn (Midwood)
43,Karim Camara,Dem,2005,,"Brooklyn (Crown Heights, Prospect Lefferts Gardens)"
44,James F. Brennan,Dem,1984,,Brooklyn (Kensington)
45,Steven Cymbrowitz,Dem,2000,,"Brooklyn (Brighton Beach, Sheepshead Bay)"
46,Alec Brook-Krasny,Dem,2006,,"Brooklyn (Coney Island, Fort Hamilton)"
47,William Colton,Dem,1996,,Brooklyn (Gravesend)
48,Dov Hikind,Dem,1982,,Brooklyn (Borough Park)
49,Peter Abbate,Dem,1986,,Brooklyn (Bensonhurst)
50,Joseph Lentol,Dem,1972,,"Brooklyn (Greenpoint, Williamsburg)"
51,Félix Ortiz,Dem,1994,,Brooklyn (Sunset Park)
52,Joan Millman,Dem,1997,,"Brooklyn (Brooklyn Heights, Park Slope)"
53,Maritza Davila,Dem,2013,,"Brooklyn (East Williamsburg, Bushwick)"
54,"Vacant (last held by Rafael L Espinal, Jr.)",,,,Brooklyn
55,"Vacant (last held by William Boyland, Jr.)",,,,Brooklyn
56,Annette Robinson,Dem,2002,,Brooklyn (Bedford-Stuyvesant)
57,Walter T. Mosley,Dem,2012,,"Brooklyn (Clinton Hill, Fort Greene, Prospect Heights)"
58,N. Nick Perry,Dem,1992,,"Brooklyn (Canarsie, East Flatbush)"
59,Vacant (last held by Alan N. Maisel),,,,Brooklyn
60,Vacant (last held by Inez D. Barron),,,,Brooklyn
61,Matthew Titone,Dem,2007,,Staten Island (West Brighton)
62,Joseph Borelli,Rep,2012,,Staten Island (Annadale)
63,Michael Cusick,Dem,2002,,Staten Island (Silver Lake)
64,Nicole Malliotakis,Rep,2010,,"Staten Island (Rosebank), Brooklyn (Bay Ridge)"
65,Sheldon Silver,Dem,1976,,Manhattan (Lower East Side)
66,Deborah Glick,Dem,1990,,"Manhattan (SoHo, Greenwich Village)"
67,Linda Rosenthal,Dem,2006,,Manhattan (Upper West Side)
68,Robert J. Rodriguez,Dem,2010,,Manhattan (East Harlem)
69,Daniel O'Donnell,Dem,2002,,"Manhattan (Morningside Heights, Upper West Side)"
70,Keith L. T. Wright,Dem,1992,,Manhattan (Harlem)
71,Herman D. Farrell,Dem,1974,,Manhattan (Washington Heights)
72,Gabriela Rosa,Dem,2012,,"Manhattan (Inwood, Washington Heights)"
73,Dan Quart,Dem,2011,,"Manhattan (Midtown East, Upper East Side)"
74,Brian Kavanagh,Dem,2006,,"Manhattan (East Village, Murray Hill)"
75,Richard Gottfried,Dem,1970,,"Manhattan (Chelsea, Hell's Kitchen)"
76,Micah Kellner,Dem,2007,,"Manhattan (Roosevelt Island, Upper East Side)"
77,Vacant (last held by Vanessa L. Gibson),,,,The Bronx
78,Jose Rivera,Dem,2000,,"The Bronx (Bedford Park, Fordham)"
79,Vacant (last held by Eric A. Stevenson),,,,The Bronx
80,Mark Gjonaj,Dem,2012,,"The Bronx (Olinville, Pelham Parkway)"
81,Jeffrey Dinowitz,Dem,1994,,"The Bronx (Riverdale, Woodlawn)"
82,Michael Benedetto,Dem,2004,,"The Bronx (Baychester, City Island)"
83,Carl Heastie,Dem,2000,,"The Bronx (Wakefield, Williamsbridge)"
84,Carmen E. Arroyo,Dem,1994,,"The Bronx (Hunts Point, Mott Haven)"
85,Marcos Crespo,Dem,2009,,"The Bronx (Morrisania, Soundview)"
86,Victor M. Pichardo,Dem,2013,,"The Bronx (Morris Heights, University Heights)"
87,Luis R. Sepúlveda,Dem,2012,,"The Bronx (Parkchester, West Farms)"
88,Amy Paulin,Dem,2000,,Scarsdale
89,J. Gary Pretlow,Dem,1992,,Mount Vernon
90,Shelley Mayer,Dem,2012,,Yonkers
91,Steven Otis,Dem,2012,,Rye
92,Tom Abinanti,Dem,2010,,Greenburgh
93,David Buchwald,Dem,2012,,White Plains
94,Steve Katz,Rep,2010,,Mohegan Lake
95,Sandy Galef,Dem,1992,,Ossining
96,"Kenneth Zebrowski, Jr.",Dem,2007,,New City
97,Ellen Jaffee,Dem,2006,,Suffern
98,Vacant (last held by Ann G. Rabbitt),,,,Warwick
99,James Skoufis,Dem,2012,,Woodbury
100,Aileen Gunther,Dem,2003,,Forestburgh
101,Claudia Tenney,Rep,2010,,New Hartford
102,Peter Lopez,Rep,2006,,Schoharie
103,Kevin Cahill,Dem,1998,,Kingston
104,Frank Skartados,Dem,2012,,Milton
105,Kieran Lalor,Rep,2012,,Fishkill
106,Didi Barrett,Dem,2012,,Hudson
107,Steven McLaughlin,Rep,2010,,Melrose
