Date,Name,Rank,Age,Cause,Place of Death,Country of Death,Branch of Service,City,State
2/11/2012,"Cortez, Cesar",Private 1st Class,24,Non-hostile,Bahrain,Bahrain,U.S. Army,Oceanside,California
11/14/2011,"Hickman, David Emanuel",Specialist,23,Hostile - hostile fire - IED attack,Baghdad ,Iraq,U.S. Army,Greensboro,North Carolina
11/3/2011,"Vincent, Dustin D.",1st Lieutenant,25,Hostile - hostile fire - small arms fire,Kirkuk,Iraq,U.S. Army,Mesquite,Texas
10/25/2011,"Robinson, David G.",Sergeant,28,Non-hostile,Riyadh,Saudi Arabia,U.S. Army,Winthrop Harbor,Illinois
10/23/2011,"Charles, Shawn P. T.",Captain,40,Non-hostile,"San Antonio, Texas",USA,U.S. Army,Hickory,North Carolina
10/21/2011,"Shapiro, Steven F.",Private 1st Class,29,Non-hostile,Tallil,Iraq,U.S. Army,Hidden Valley Lake,California
10/17/2011,"Leep Jr., James R.",Staff Sergeant,44,Non-hostile,Babil,Iraq,U.S. Army National Guard,Richmond,Virginia
9/29/2011,"Mills, Adrian G.",Specialist,23,Hostile - hostile fire - indirect fire,Kirkuk,Iraq,U.S. Army,Newnan,Georgia
9/22/2011,"Morales, Andy C.",Sergeant,32,Non-hostile,Baghdad ,Iraq,U.S. Army,Longwood,Florida
9/18/2011,"Altamirano, Estevan",Staff Sergeant,30,Non-hostile,Tikrit,Iraq,U.S. Army,Edcouch,Texas
9/7/2011,"Crawford, James K.",Comandor,50,Non-hostile,Manama,Bahrain,U.S. Navy,East Concord,New York
7/17/2011,"Cofield, Mark A.",Sergeant,25,Non-hostile,Baghdad,Iraq,U.S. Army,Colorado Springs,Colorado
7/15/2011,"Elliott, Daniel L.",Specialist,21,Hostile - hostile fire - IED attack,Basra,Iraq,U.S. Army,Youngsville,North Carolina
7/10/2011,"Talamantez, Steven L.",Sergeant,34,Hostile - hostile fire - indirect fire,Al Amarah,Iraq,U.S. Army,Laredo,Texas
7/7/2011,"Beyers, Nathan R.",Specialist,24,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Littleton,Colorado
7/7/2011,"Newby, Nicholas W.",Specialist,20,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Coeur d’Alene,Idaho
